original_text,normalized_text
سيادة الكولونيل، صبرك في محله،,سياده الكولونيل، صبرك في محله،
مبروك علينا،,مبروك علينا،
"عملنا أفجر طيارة في تاريخ ""أمريكا"".","عملنا افجر طياره في تاريخ ""امريكا""."
أنا متحمس جدًا من امبارح،,انا متحمس جدًا من امبارح،
ها، ورّيني!,ها، ورّيني!
أقدم لحضرتك فخر الطيران الأمريكي,اقدم لحضرتك فخر الطيران الامريكي
الـF-35.,ال -35.
بس دي شكلها شبه اللي احنا عملناها قبل كدا!,بس دي شكلها شبه اللي احنا عملناها قبل كدا!
آه، بس التكنولوجيا اللي فيها سابقة بسنين ضوئية، حضرتك.,اه، بس التكنولوجيا اللي فيها سابقه بسنين ضوييه، حضرتك.
يعني إيه سنين ضوئية؟!,يعني ايه سنين ضوييه
مش مهم، مش مهم، احكيلي عنها كدا.,مش مهم، مش مهم، احكيلي عنها كدا.
القطعة الفنية اللي أمام حضرتك دي فيها أقوى كمبيوتر،,القطعه الفنيه اللي امام حضرتك دي فيها اقوي كمبيوتر،
كمبيونر نسـ....,كمبيونر نس
معلش، يعني، سؤال ساذج في حتة تانية،,معلش، يعني، سوال ساذج في حته تانيه،
بس هي بتقتلها تقريبًا كام طفل في الدقيقة؟,بس هي بتقتلها تقريبًا كام طفل في الدقيقه؟
مش عارف، يا فندم، بصراحة... ما على حسب فيه كام طفل واقفين،,مش عارف، يا فندم، بصراحه ما علي حسب فيه كام طفل واقفين،
يعني، ما اخترعنهاش عشان تـTarget أطفال بالتحديد يعني...,يعني، ما اخترعنهاش عشان ت اطفال بالتحديد يعني
طب معلش يعني، سؤال ساذج تاني يعني،,طب معلش يعني، سوال ساذج تاني يعني،
لو افترضنا إن هناك شخص،,لو افترضنا ان هناك شخص،
ومثلًا مثلًا مثلًا، يعني، مثلًا،,ومثلًا مثلًا مثلًا، يعني، مثلًا،
مثلًا، مثلًا،,مثلًا، مثلًا،
الشخص دا عربي،,الشخص دا عربي،
ومعاه صاروخ مضاد للطيارات،,ومعاه صاروخ مضاد للطيارات،
هل يقدر يوقّعها؟,هل يقدر يوقّعها؟
حضرتك، هتفرق في إيه جنسيته؟!,حضرتك، هتفرق في ايه جنسيته
انت هتخُشلي قافية ولّا إيه يا دكتور؟! رُد على السؤال.,انت هتخُشلي قافيه ولّا ايه يا دكتور رُد علي السوال.
الطيارة صعب جدًا الرادار يلقطها،,الطياره صعب جدًا الرادار يلقطها،
وصعب أي فرد يتتبعها على الـ...,وصعب اي فرد يتتبعها علي ال
سؤال من واحد صاحبي،,سوال من واحد صاحبي،
اللي هو بيفكر يشتري الـModel دا يعني.,اللي هو بيفكر يشتري ال دا يعني.
صاحبك؟!,صاحبك
اتفضل.,اتفضل.
هل النظام بتاعها بالإنجليزي بس؟ ولّا ممكن يبقى...,هل النظام بتاعها بالانجليزي بس؟ ولّا ممكن يبقي
باللهجة العبرية؟,باللهجه العبريه؟
ينفع، هي فيها 7 لغات.,ينفع، هي فيها 7 لغات.
إيه دا؟!,ايه دا
ثانية واحدة! إيه 7 لغات دي؟!,ثانيه واحده! ايه 7 لغات دي
اوعى يكون فيها لغة روسي!,اوعي يكون فيها لغه روسي!
لأ، لأ، ما تخافش، ما فيهاش.,لا، لا، ما تخافش، ما فيهاش.
هو دا الكلام،,هو دا الكلام،
دا اللي بأتكلم عليه.,دا اللي باتكلم عليه.
سؤال، معلش، كمان،,سوال، معلش، كمان،
عشان أنا جاي، وهأخلّص على طول،,عشان انا جاي، وهاخلّص علي طول،
هل فيها Sensor رَكنة؟,هل فيها رَكنه؟
Sensor رَكنة؟!,رَكنه
على فكرة، دا سؤال بجد، ومهم،,علي فكره، دا سوال بجد، ومهم،
وهيساعدك في البيع بعد كدا،,وهيساعدك في البيع بعد كدا،
انت مش شايف العربيات الصيني؟,انت مش شايف العربيات الصيني؟
فيها الـOption دا، على فكرة.,فيها ال دا، علي فكره.
- إيه؟! - طب، خلاص، دا كلام ممتاز،,- ايه - طب، خلاص، دا كلام ممتاز،
"أنا هأكلم ""البنك الدولي"" النهاردة، إن شاء الله،","انا هاكلم ""البنك الدولي"" النهارده، ان شاء الله،"
ونقدم على قرض طيارة.,ونقدم علي قرض طياره.
على فكرة، أسعاركم غالية،,علي فكره، اسعاركم غاليه،
احنا محتاجين نقسّط!,احنا محتاجين نقسّط!
أنا ممكن أشتريها من الـMall بتقفيل محلي أرخص بكتير، رُبع التمن،,انا ممكن اشتريها من ال بتقفيل محلي ارخص بكتير، رُبع التمن،
بس يعني، عشان انت إنسان بشوش ومحترم،,بس يعني، عشان انت انسان بشوش ومحترم،
فأنا قررت إن أنا أشتريها منك.,فانا قررت ان انا اشتريها منك.
قرض طيارة؟!,قرض طياره
"انت جاي تشتري من ""أوتو (سمير ريان)"" يا أسطى؟!","انت جاي تشتري من ""اوتو سمير ريان "" يا اسطي"
أعزائي المشاهدين، السلام عليكم ورحمة الله وبركاته،,اعزايي المشاهدين، السلام عليكم ورحمه الله وبركاته،
"أهلًا بكم في حلقة جديدة، من برنامج ""الدحّيح""!","اهلًا بكم في حلقه جديده، من برنامج ""الدحّيح""!"
عزيزي المُشاهد الجميل، خلّيني آخدك من إيدك، ونروح ليوم غير عادي،,عزيزي المُشاهد الجميل، خلّيني اخدك من ايدك، ونروح ليوم غير عادي،
احنا دلوقتي، يا عزيزي، في يوليو 2011،,احنا دلوقتي، يا عزيزي، في يوليو 2011،
"شايفين أمامنا المقدم ""إيريك سميث""","شايفين امامنا المقدم ""ايريك سميث"""
"وهو واقف في Hangar واسع في ولاية ""تكساس""،","وهو واقف في واسع في ولايه ""تكساس""،"
Hangar تابع لشركة كبيرة جدًا في مجال الأسلحة،,تابع لشركه كبيره جدًا في مجال الاسلحه،
"اسمها ""لوكهيد مارتن"".","اسمها ""لوكهيد مارتن""."
عزيزي، افتكر إن أنا قُلتلك النهاردة يوم غير عادي.,عزيزي، افتكر ان انا قُلتلك النهارده يوم غير عادي.
"المقدم ""إيريك"" كان متحمس،","المقدم ""ايريك"" كان متحمس،"
لأنه هيجرب الطيارة، اللي هتغيّر العالم بشكل غير عادي،,لانه هيجرب الطياره، اللي هتغيّر العالم بشكل غير عادي،
طيارة، لو معاك، هتكسب أي حرب.,طياره، لو معاك، هتكسب اي حرب.
عزيزي، مش محتاج أقولّك إن أنا بأتكلم عن الطيارة F-35،,عزيزي، مش محتاج اقولّك ان انا باتكلم عن الطياره -35،
"""(إيرلينج هالاند) السماء""!",""" ايرلينج هالاند السماء""!"
"ثانية واحدة! مين (إيرلينج هالاند) السماء؟! هو مش أنا؟!""","ثانيه واحده! مين ايرلينج هالاند السماء هو مش انا """
"""إيريك""، يا عزيزي، كان حاسس بحالة من الهيبة والعظمة،","""ايريك""، يا عزيزي، كان حاسس بحاله من الهيبه والعظمه،"
الطيارة قُدّامه ما فيهاش غلطة،,الطياره قُدّامه ما فيهاش غلطه،
"بتقولّه: ""اتفضل، ادخل.""","بتقولّه: ""اتفضل، ادخل."""
اللي حصل، يا عزيزي، إن هو لمّا ركبها، اتوتر جدًا،,اللي حصل، يا عزيزي، ان هو لمّا ركبها، اتوتر جدًا،
برغم، يا عزيزي، إن هو وقتها ما كانش داخل حرب،,برغم، يا عزيزي، ان هو وقتها ما كانش داخل حرب،
دا كان لسة بيجرب،,دا كان لسه بيجرب،
مطلوب منه إن هو يعمل Test، يجربها،,مطلوب منه ان هو يعمل ، يجربها،
"هيطير بيها من المصنع لقاعدة موجودة في ""فلوريدا"".","هيطير بيها من المصنع لقاعده موجوده في ""فلوريدا""."
طبعًا، يا عزيزي، لمّا انت بتيجي تتكلم عن حاجة زي الـF-35،,طبعًا، يا عزيزي، لمّا انت بتيجي تتكلم عن حاجه زي ال -35،
احنا نعرف إن سرعتها ممتازة،,احنا نعرف ان سرعتها ممتازه،
فليه الراجل دا خايف؟,فليه الراجل دا خايف؟
ولكن، حقيقة الأمر، إن احنا كنا هنا لسة بنجرب، لسة ما نعرفش،,ولكن، حقيقه الامر، ان احنا كنا هنا لسه بنجرب، لسه ما نعرفش،
أصغر غلطة هتحصل في هذه التجربة ممكن تسمّع في الإعلام كله،,اصغر غلطه هتحصل في هذه التجربه ممكن تسمّع في الاعلام كله،
"ممكن تأثر على مبيعات ""لوكهيد مارتن""،","ممكن تاثر علي مبيعات ""لوكهيد مارتن""،"
ودي، يا عزيزي، مبيعات بمليارات الدولارات،,ودي، يا عزيزي، مبيعات بمليارات الدولارات،
ودي مش مبيعات بتمثل الشركة بس،,ودي مش مبيعات بتمثل الشركه بس،
"لأ، دي بتمثل أقوى قوة عسكرية في العالم، ""الولايات المتحدة الأمريكية"".","لا، دي بتمثل اقوي قوه عسكريه في العالم، ""الولايات المتحده الامريكيه""."
أنا عايز، يا عزيزي، أفاجئك وأقولّك إن تكلفة تطوير مشروع هذه الطائرة,انا عايز، يا عزيزي، افاجيك واقولّك ان تكلفه تطوير مشروع هذه الطايره
كانت أكتر من تقريبًا تريليون دولار، 12 صفر.,كانت اكتر من تقريبًا تريليون دولار، 12 صفر.
"وبالفعل، ""إيريك""، يا عزيزي، بيطلع، وبيوصل إلى ""فلوريدا"" بنجاح،","وبالفعل، ""ايريك""، يا عزيزي، بيطلع، وبيوصل الي ""فلوريدا"" بنجاح،"
وبيخرج وهو مبتسم من الطيارة.,وبيخرج وهو مبتسم من الطياره.
"""طب مبتسم، يا (أبو حميد)، عشان هو طلع بالسلامة، الحمد لله،","""طب مبتسم، يا ابو حميد ، عشان هو طلع بالسلامه، الحمد لله،"
لأنه كان نازل من طيارة عسكرية،,لانه كان نازل من طياره عسكريه،
دا شعور الارتياح،,دا شعور الارتياح،
"ما هو برضه مش طالع من (طواجن بيبو).""","ما هو برضه مش طالع من طواجن بيبو ."""
عزيزي المُشاهد الجميل، شكلك ما تعرفش ركوب الطيارات المقاتلة عامل ازاي.,عزيزي المُشاهد الجميل، شكلك ما تعرفش ركوب الطيارات المقاتله عامل ازاي.
في العادي، الطيار المقاتل لمّا كان بيخلّص مهمة،,في العادي، الطيار المقاتل لمّا كان بيخلّص مهمه،
كان بيرجع مرهق، ورقبته واجعاه من الضغط،,كان بيرجع مرهق، ورقبته واجعاه من الضغط،
إيديه بتترعش وأدرينالنه مشطب،,ايديه بتترعش وادرينالنه مشطب،
لكن مستحيل يبقى راجع وشّه منوّر بدر كدا.,لكن مستحيل يبقي راجع وشّه منوّر بدر كدا.
الطيار المبتسم دا يبقى الطيار مثلًا المدني،,الطيار المبتسم دا يبقي الطيار مثلًا المدني،
ما بيطيرش بسرعات عالية أوي،,ما بيطيرش بسرعات عاليه اوي،
ما بيعملش مراوغات هوائية مجنونة،,ما بيعملش مراوغات هواييه مجنونه،
آه، 90% من الوقت الطيران الآلي هو اللي شغال، وهو ماسك الميكروفون،,اه، 90 من الوقت الطيران الالي هو اللي شغال، وهو ماسك الميكروفون،
نبطشي على الطيارة،,نبطشي علي الطياره،
"""الكابتن يرحب بكم""، ""الكابتن بيقول دعاء السَفَر""،","""الكابتن يرحب بكم""، ""الكابتن بيقول دعاء السَفَر""،"
"""مطب جوّي، خُدوا بالكم!""","""مطب جوّي، خُدوا بالكم!"""
خُد بالك انت، انت اللي سايق!,خُد بالك انت، انت اللي سايق!
أنا هأعمل إيه؟!,انا هاعمل ايه
الـF-35 لا شك إنها كانت نقلة في الطيران الحربي،,ال -35 لا شك انها كانت نقله في الطيران الحربي،
يُقال إن البرامج بتاعتها شيء فريد، ما بيطلعش إلا كل تقريبًا 30 سنة.,يُقال ان البرامج بتاعتها شيء فريد، ما بيطلعش الا كل تقريبًا 30 سنه.
ولكن عشان أوصفلك ازاي الـF-35 غيّرت من تجربة الطيران نفسها،,ولكن عشان اوصفلك ازاي ال -35 غيّرت من تجربه الطيران نفسها،
فاحنا محتاجين نرجع لتاريخ أقدم بكتير من اللي بأكلمك فيه،,فاحنا محتاجين نرجع لتاريخ اقدم بكتير من اللي باكلمك فيه،
محتاجين نشوف علاقة الإنسان نفسه بفكرة الطيران؟,محتاجين نشوف علاقه الانسان نفسه بفكره الطيران؟
